29.5321	94.8865
31.9309	93.1984
28.2349	92.6298
30.5094	91.2083
29.3722	94.3356
31.7887	92.7719
30.2251	94.9042
32.2152	92.3455
28.6614	93.1984
31.6466	91.3504
26.9556	92.3455
30.7937	90.2132
27.0977	91.7769
30.7937	90.3554
27.0977	91.9190
30.5094	90.9240
27.6663	91.7769
30.3672	90.6397
27.3820	90.7818
29.6565	89.6446
26.8134	90.6397
29.7986	89.3603
27.5242	90.2132
29.3722	88.9338
26.8134	89.9289
29.3722	88.5074
26.9556	90.0711
29.3722	88.6495
26.6713	90.0711
29.6565	89.3603
26.1027	89.7868
29.3722	89.0760
25.3919	89.0760
29.2300	88.3652
25.6762	89.2181
28.8035	88.7917
25.2497	88.9338
29.2300	88.3652
25.2497	88.9338
29.5143	88.7917
25.1076	88.9338
29.9408	88.2231
24.6811	88.3652
30.0829	87.9388
24.9654	88.3652
29.3722	88.3652
24.1125	88.5074
29.5143	88.2231
24.2547	88.2231
29.5143	88.5074
24.5390	88.6495
30.2251	88.5074
23.8282	88.9338
29.5143	88.6495
23.1175	88.5074
29.9408	88.5074
24.6811	88.6495
30.2251	89.0760
24.3968	88.2231
30.0829	88.9338
23.4018	87.7966
29.6565	89.3603
23.9704	88.0809
29.9408	88.9338
23.4018	87.5123
30.7937	88.7917
23.2596	87.7966
30.6515	88.6495
23.5439	88.0809
31.0780	87.9388
23.8282	88.0809
30.6515	88.2231
