24.0556	61.6490
26.9194	60.1390
24.7325	62.6383
27.6483	60.3473
24.7325	63.7838
27.5442	61.0763
25.0449	63.6797
27.5442	62.0135
24.4201	64.0962
27.9608	62.3259
24.8366	63.7838
26.9194	62.0135
25.2532	63.7838
27.3359	63.0549
24.9408	63.7838
27.2318	61.4928
24.4201	62.4301
27.8566	60.3473
24.6284	61.7011
26.8152	60.4515
24.0036	58.9935
25.5656	57.3274
24.2118	60.7639
26.8152	59.0977
24.4201	59.8266
25.5656	57.9522
23.6911	58.8894
25.9822	57.4315
24.7325	62.5342
26.3987	61.0763
23.8994	58.7853
25.9822	57.1191
23.0663	57.9522
25.4615	56.1818
22.9622	57.7439
25.1491	56.0777
23.0663	57.1191
25.2532	55.5570
23.0663	56.5984
25.4615	55.3488
23.5870	58.5770
25.8780	56.5984
23.2746	57.6398
25.8780	56.3901
23.7953	58.6811
26.0863	57.1191
22.0249	55.8694
24.8366	54.5157
22.5456	57.9522
25.5656	55.8694
23.2746	57.5356
25.3573	55.9736
23.1705	57.4315
25.5656	55.0363
22.6498	55.9736
25.6697	54.6198
22.5456	56.0777
25.1491	54.7239
21.1919	55.6612
25.0449	53.9950
21.4001	54.0991
24.8366	52.7453
22.5456	56.1818
25.5656	54.0991
20.7753	52.9536
25.3573	51.4957
22.4415	56.2860
24.6284	55.0363
